System Key,System Name,Solution,Vendor,Application Type,Technology,System Role,Tribe,Is NonTarget System,Status,Criticality Level,Description Geo,Description Eng,Business Domains
351,CBS.Customer,B6,TBC Solutions,Web Service,.Net,Adapter,Platform Systems,No,Active,Critical,ქორ სისტემის კლიენტების ადაპტერ სისტემა,Adapter system for Core Customer  Info,CIF
352,Cards2011.Cards,B6,TBC Solutions,Web Service,.Net,Adapter,Platform Systems,No,Active,Critical,ქორ სისტემის ბარათების განაცხადების ადაპტერ სისტემა,Adapter system for Core Card origination Info,Debit Cards||Credit Cards
353,B7.Querying.CardOriginations.Api,B6,TBC Solutions,Web Service,.Net,Adapter,Platform Systems,No,Active,Critical,ქორ სისტემის ბარათების განაცხადების ადაპტერ სისტემა,Adapter system for Core Card origination Info,Debit Cards||Credit Cards
354,Treasure Pricing System,,TBC Solutions,Web App,.Net,Master,Ent Serv,No,Under Development,Critical,სახაზინო პროდუქტების ფასდადების სისტემა,Pricing for Treasury Products,Treasury
355,Flite,,Deloitte,Web App,R,Master||Reporting,Risks,No,Active,Normal,რეზერვების კალკულაციის ენჯინი (IFRS9-ის შესაბამისი მოდელით),Provisioning calculation engine according to IFRS9 model,DW & Analytics
356,DBS Investments,DBS,TBC Solutions,Web Service,.Net,Mediator,Digital,No,Active,Critical,დიჯიტალ ბანკინგის მედიატორული მოკროსერვისი საინვესტიციო პროდუქტებისთვის,Mediator Microservice for digital banking covering investment products,Self Service Channels
357,Treasury,,TBC Solutions,Web App,.Net,Master||Front,Ent Serv,No,Active,Normal,სახაზინო პროდუქტების  მართვის სისტემა (აღრიცხავს ფასიანი ქაღალდებს),Treasury products master system (covering securities),Treasury
358,HRESignature,,TBC Solutions,Web App,.Net,Master||Front,Ent Serv,No,Active,Normal,ელექტრონული შრომითი ხელშეკრულებების  მართვის სისტემა,Digital Labor contracts management system,Treasury||HRM
359,Digipass Code Verification,,TBC Solutions,Web Service,.Net,Mediator,Digital,Yes,Active,Critical,დიჯიპასით ვერიფიკაციის სერვისი,Verification using Digipass,Op Rsiks & Security
360,Customer Experience Adapter,Customer Experience,TBC Solutions,Web Service,.Net,Mediator,Daily Operations,Yes,Active,Normal,კლიენტების  სერვისების შესახებ გამოკითხვის სისტემის ადაპტერ სუსტემა,adapter system for Customer Experience managments system,Others
361,CX Platform,Customer Experience,Medalia,Web Service,.Net,Mediator,Daily Operations,Yes,Active,Normal,კლიენტების  სერვისების შესახებ გამოკითხვის სისტემა,Customer Experience managments system,Others
